ts,Unnamed: 0,open,high,low,close,volume
2024-01-01 00:00:00,0.0,3400.00,3408.00,3392.00,3398.20,150.00000
2024-01-01 01:00:00,1.0,3401.50,3409.50,3393.50,3400.90,152.50000
2024-01-01 02:00:00,2.0,3403.00,3411.00,3395.00,3403.60,155.00000
2024-01-01 03:00:00,3.0,3404.50,3412.50,3396.50,3406.30,157.50000
2024-01-01 04:00:00,4.0,3406.00,3414.00,3398.00,3404.20,160.00000
2024-01-01 05:00:00,5.0,3407.50,3415.50,3399.50,3406.90,162.50000
2024-01-01 06:00:00,6.0,3409.00,3417.00,3401.00,3409.60,165.00000
2024-01-01 07:00:00,7.0,3410.50,3418.50,3402.50,3412.30,167.50000
2024-01-01 08:00:00,8.0,3412.00,3420.00,3404.00,3410.20,170.00000
2024-01-01 09:00:00,9.0,3413.50,3421.50,3405.50,3412.90,172.50000
2024-01-01 10:00:00,10.0,3415.00,3423.00,3407.00,3415.60,175.00000
2024-01-01 11:00:00,11.0,3416.50,3424.50,3408.50,3418.30,177.50000
2024-01-01 12:00:00,12.0,3418.00,3426.00,3410.00,3416.20,180.00000
2024-01-01 13:00:00,13.0,3419.50,3427.50,3411.50,3418.90,182.50000
2024-01-01 14:00:00,14.0,3421.00,3429.00,3413.00,3421.60,185.00000
2024-01-01 15:00:00,15.0,3422.50,3430.50,3414.50,3424.30,187.50000
2024-01-01 16:00:00,16.0,3424.00,3432.00,3416.00,3422.20,190.00000
2024-01-01 17:00:00,17.0,3425.50,3433.50,3417.50,3424.90,192.50000
2024-01-01 18:00:00,18.0,3427.00,3435.00,3419.00,3427.60,195.00000
2024-01-01 19:00:00,19.0,3428.50,3436.50,3420.50,3430.30,197.50000
2024-01-01 20:00:00,20.0,3430.00,3438.00,3422.00,3428.20,200.00000
2024-01-01 21:00:00,21.0,3431.50,3439.50,3423.50,3430.90,202.50000
2024-01-01 22:00:00,22.0,3433.00,3441.00,3425.00,3433.60,205.00000
2024-01-01 23:00:00,23.0,3434.50,3442.50,3426.50,3436.30,207.50000
